NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1250-0386464,299.5879833,35.0649361,YM,B,8.0,7.0,32.0,6.0,18.350,Y,17.970,Y,16.970,B,15.670,15.048,14.772,
1250-0385958,299.4966492,35.0506286,YM,C,0.0,3.7,-8.8,4.1,13.590,Y,12.860,Y,12.450,B,10.124,9.543,9.376,
1250-0385985,299.5024472,35.0514778,YM,B,10.0,4.0,2.0,2.0,18.210,B,16.560,Y,15.500,B,11.881,10.872,10.547,
1250-0386008,299.5068639,35.0546778,YM,B,0.0,0.0,0.0,0.0,17.260,Y,16.320,Y,16.250,B,15.064,14.551,14.367,
1250-0386017,299.5086333,35.0427472,YM,B,22.0,5.0,18.0,16.0,18.470,B,17.830,Y,15.680,B,14.592,14.185,13.573,
1250-0386018,299.5088428,35.0478661,YM,C,9.0,5.5,-3.9,6.6,15.640,B,14.820,Y,14.720,B,13.524,13.195,13.100,
1250-0386023,299.5096967,35.0662294,YM,C,5.1,5.5,-5.7,5.4,15.340,Y,16.230,Y,15.580,B,14.339,14.023,13.941,
1250-0386024,299.5097167,35.0552278,YM,B,8.0,5.0,8.0,0.0,,,17.480,Y,17.180,B,13.882,12.930,12.646,
1250-0386025,299.5097750,35.0429639,YM,B,0.0,0.0,0.0,0.0,18.720,B,17.890,Y,17.000,B,15.605,15.029,14.829,
1250-0386040,299.5116528,35.0468056,YM,B,0.0,0.0,0.0,0.0,18.310,B,17.860,Y,15.500,B,12.964,12.054,11.737,
1250-0386046,299.5128819,35.0493853,YM,C,16.9,5.2,7.3,6.4,13.310,Y,12.710,Y,11.680,B,10.387,9.838,9.704,
1250-0386071,299.5173361,35.0537500,YM,B,-10.0,8.0,-10.0,2.0,17.820,Y,17.580,Y,17.170,B,15.670,15.194,14.909,
1250-0386102,299.5238139,35.0422028,YM,B,6.0,2.0,-2.0,3.0,18.430,B,16.610,Y,15.970,B,12.484,11.547,11.237,
1250-0385830,299.4715083,35.0545222,YM,B,2.0,3.0,2.0,1.0,17.820,Y,17.510,Y,16.680,B,14.614,14.138,13.929,
